class_ratio,repeat_id,fold_id,method,group_id,group_name,group_size,group_total,top_share,hhi,entropy_norm,max_member_value
0.1,0,0,shap,0,credit_amount+duration_months,2,0.22707363953019988,0.6198705701538728,0.5287379071780292,0.9581333831996247,0.1407562664025
0.1,0,0,shap,1,credit_history+existing_credits,2,0.09094546038024981,0.7528884452996787,0.6279051315321771,0.8066678664775144,0.0684717862727498
0.1,0,0,shap,2,housing+property,2,0.20178864124974982,0.6298826789397265,0.5337390205771202,0.95076213232023,0.12710316992999982
0.1,0,0,shap,3,age_years,1,0.129993961185,1.0,1.0,,0.129993961185
0.1,0,0,shap,4,checking_status,1,0.17264745267749998,1.0,1.0,,0.17264745267749998
0.1,0,0,shap,5,employment_since,1,0.0685557709599999,1.0,1.0,,0.0685557709599999
0.1,0,0,shap,6,foreign_worker,1,0.0038152398824998998,1.0,1.0,,0.0038152398824998998
0.1,0,0,shap,7,installment_rate,1,0.06217885687,1.0,1.0,,0.06217885687
0.1,0,0,shap,8,job,1,0.030427611229374804,1.0,1.0,,0.030427611229374804
0.1,0,0,shap,9,other_debtors,1,0.0085694791619998,1.0,1.0,,0.0085694791619998
0.1,0,0,shap,10,other_installment_plans,1,0.0321669912327497,1.0,1.0,,0.0321669912327497
0.1,0,0,shap,11,people_liable,1,0.001118701313,1.0,1.0,,0.001118701313
0.1,0,0,shap,12,personal_status_sex,1,0.048326889354999604,1.0,1.0,,0.048326889354999604
0.1,0,0,shap,13,purpose,1,0.0781487914476249,1.0,1.0,,0.0781487914476249
0.1,0,0,shap,14,residence_since,1,0.0764172357524999,1.0,1.0,,0.0764172357524999
0.1,0,0,shap,15,savings_status,1,0.10430185454499978,1.0,1.0,,0.10430185454499978
0.1,0,0,shap,16,telephone,1,0.049422400785,1.0,1.0,,0.049422400785
0.1,0,0,pfi,0,credit_amount+duration_months,2,0.041833333333333,0.7174160500853747,0.5945394776694524,0.8589477777209366,0.0300119047619046
0.1,0,0,pfi,1,credit_history+existing_credits,2,0.0203452380952378,0.8812170860152053,0.7906529333398489,0.5258522407607071,0.017928571428571
0.1,0,0,pfi,2,housing+property,2,0.0251190476190479,0.5981042654028399,0.5192488937804616,0.9720487321549431,0.0150238095238096
0.1,0,0,pfi,3,age_years,1,0.0034642857142858,1.0,1.0,,0.0034642857142858
0.1,0,0,pfi,4,checking_status,1,0.0753690476190473,1.0,1.0,,0.0753690476190473
0.1,0,0,pfi,5,employment_since,1,0.0101547619047615,1.0,1.0,,0.0101547619047615
0.1,0,0,pfi,6,foreign_worker,1,0.0012499999999999998,1.0,1.0,,0.0012499999999999998
0.1,0,0,pfi,7,installment_rate,1,0.0029047619047617,1.0,1.0,,0.0029047619047617
0.1,0,0,pfi,8,job,1,0.0016190476190474242,1.0,1.0,,0.0016190476190474242
0.1,0,0,pfi,9,other_debtors,1,0.002154761904762,1.0,1.0,,0.002154761904762
0.1,0,0,pfi,10,other_installment_plans,1,0.0047738095238091995,1.0,1.0,,0.0047738095238091995
0.1,0,0,pfi,11,people_liable,1,0.0001785714285713,1.0,1.0,,0.0001785714285713
0.1,0,0,pfi,12,personal_status_sex,1,0.003988095238095,1.0,1.0,,0.003988095238095
0.1,0,0,pfi,13,purpose,1,0.0123095238095236,1.0,1.0,,0.0123095238095236
0.1,0,0,pfi,14,residence_since,1,0.0051309523809524,1.0,1.0,,0.0051309523809524
0.1,0,0,pfi,15,savings_status,1,0.0188095238095232,1.0,1.0,,0.0188095238095232
0.1,0,0,pfi,16,telephone,1,0.0054642857142853,1.0,1.0,,0.0054642857142853
0.3,0,0,shap,0,credit_amount+duration_months,2,0.29820763422335983,0.6102414701553096,0.524306363484008,0.9646435425227113,0.1819786651199999
0.3,0,0,shap,1,credit_history+existing_credits,2,0.1346458361029999,0.7335876375704663,0.609126368851503,0.8362693636972736,0.0987745208154999
0.3,0,0,shap,2,housing+property,2,0.18724941503124948,0.5214870709139657,0.5009233884329237,0.9986674217476617,0.0976481489749998
0.3,0,0,shap,3,age_years,1,0.0822801358125,1.0,1.0,,0.0822801358125
0.3,0,0,shap,4,checking_status,1,0.30494616702,1.0,1.0,,0.30494616702
0.3,0,0,shap,5,employment_since,1,0.08092238385999981,1.0,1.0,,0.08092238385999981
0.3,0,0,shap,6,foreign_worker,1,0.006445535895,1.0,1.0,,0.006445535895
0.3,0,0,shap,7,installment_rate,1,0.071808031165,1.0,1.0,,0.071808031165
0.3,0,0,shap,8,job,1,0.015784852045874702,1.0,1.0,,0.015784852045874702
0.3,0,0,shap,9,other_debtors,1,0.01314077045925,1.0,1.0,,0.01314077045925
0.3,0,0,shap,10,other_installment_plans,1,0.055871134199999804,1.0,1.0,,0.055871134199999804
0.3,0,0,shap,11,people_liable,1,0.0026323982824999,1.0,1.0,,0.0026323982824999
0.3,0,0,shap,12,personal_status_sex,1,0.0869436404519998,1.0,1.0,,0.0869436404519998
0.3,0,0,shap,13,purpose,1,0.13593654910649983,1.0,1.0,,0.13593654910649983
0.3,0,0,shap,14,residence_since,1,0.01840450691625,1.0,1.0,,0.01840450691625
0.3,0,0,shap,15,savings_status,1,0.1312977771697497,1.0,1.0,,0.1312977771697497
0.3,0,0,shap,16,telephone,1,0.050112156775,1.0,1.0,,0.050112156775
0.3,0,0,pfi,0,credit_amount+duration_months,2,0.0334761904761903,0.720839260312946,0.5975399577911383,0.8543047377553531,0.0241309523809523
0.3,0,0,pfi,1,credit_history+existing_credits,2,0.02088095238095221,0.8973774230330637,0.8158176326727968,0.4772542623830995,0.01873809523809501
0.3,0,0,pfi,2,housing+property,2,0.006952380952380901,0.6267123287671198,0.5321120285231733,0.9531630458434969,0.004357142857142801
0.3,0,0,pfi,3,age_years,1,0.0046190476190476,1.0,1.0,,0.0046190476190476
0.3,0,0,pfi,4,checking_status,1,0.0904047619047617,1.0,1.0,,0.0904047619047617
0.3,0,0,pfi,5,employment_since,1,0.010595238095237599,1.0,1.0,,0.010595238095237599
0.3,0,0,pfi,6,foreign_worker,1,0.0004761904761903,1.0,1.0,,0.0004761904761903
0.3,0,0,pfi,7,installment_rate,1,0.006797619047619,1.0,1.0,,0.006797619047619
0.3,0,0,pfi,8,job,1,0.0004880952380953482,1.0,1.0,,0.0004880952380953482
0.3,0,0,pfi,9,other_debtors,1,0.003654761904761937,1.0,1.0,,0.003654761904761937
0.3,0,0,pfi,10,other_installment_plans,1,0.0041071428571426,1.0,1.0,,0.0041071428571426
0.3,0,0,pfi,11,people_liable,1,0.0001666666666667,1.0,1.0,,0.0001666666666667
0.3,0,0,pfi,12,personal_status_sex,1,0.006190476190475953,1.0,1.0,,0.006190476190475953
0.3,0,0,pfi,13,purpose,1,0.016309523809523677,1.0,1.0,,0.016309523809523677
0.3,0,0,pfi,14,residence_since,1,0.0002142857142856,1.0,1.0,,0.0002142857142856
0.3,0,0,pfi,15,savings_status,1,0.0203690476190472,1.0,1.0,,0.0203690476190472
0.3,0,0,pfi,16,telephone,1,0.0028214285714284,1.0,1.0,,0.0028214285714284
0.5,0,0,shap,0,credit_amount+duration_months,2,0.3076619420437125,0.5444659111629739,0.503954434511107,0.9942874129768489,0.167511439605
0.5,0,0,shap,1,credit_history+existing_credits,2,0.17689070119974998,0.6753414576883301,0.561489253568537,0.9093756897771541,0.11946162399975
0.5,0,0,shap,2,housing+property,2,0.1373258466349997,0.5689380808454965,0.5095049179813205,0.9862435221755458,0.0781299036349997
0.5,0,0,shap,3,age_years,1,0.078554610277,1.0,1.0,,0.078554610277
0.5,0,0,shap,4,checking_status,1,0.4033902709849999,1.0,1.0,,0.4033902709849999
0.5,0,0,shap,5,employment_since,1,0.0975850040824998,1.0,1.0,,0.0975850040824998
0.5,0,0,shap,6,foreign_worker,1,0.007046737829999801,1.0,1.0,,0.007046737829999801
0.5,0,0,shap,7,installment_rate,1,0.0509258279075,1.0,1.0,,0.0509258279075
0.5,0,0,shap,8,job,1,0.023922199287499703,1.0,1.0,,0.023922199287499703
0.5,0,0,shap,9,other_debtors,1,0.01331022802,1.0,1.0,,0.01331022802
0.5,0,0,shap,10,other_installment_plans,1,0.0574103631149998,1.0,1.0,,0.0574103631149998
0.5,0,0,shap,11,people_liable,1,1.829065652749999e-05,1.0,1.0,,1.829065652749999e-05
0.5,0,0,shap,12,personal_status_sex,1,0.1111787551974998,1.0,1.0,,0.1111787551974998
0.5,0,0,shap,13,purpose,1,0.22391916651749944,1.0,1.0,,0.22391916651749944
0.5,0,0,shap,14,residence_since,1,0.02607929909,1.0,1.0,,0.02607929909
0.5,0,0,shap,15,savings_status,1,0.1362771058192498,1.0,1.0,,0.1362771058192498
0.5,0,0,shap,16,telephone,1,0.0461001092949998,1.0,1.0,,0.0461001092949998
0.5,0,0,pfi,0,credit_amount+duration_months,2,0.0330238095238093,0.6236481614996408,0.5305777356844824,0.9554246395962658,0.020595238095238
0.5,0,0,pfi,1,credit_history+existing_credits,2,0.020559523809523323,0.7979154603358379,0.6775072430142284,0.7260776345042186,0.016404761904761422
0.5,0,0,pfi,2,housing+property,2,0.0032499999999998294,0.5091575091575036,0.5001677199479395,0.9997580177333728,0.0016547619047617998
0.5,0,0,pfi,3,age_years,1,0.0005476190476191,1.0,1.0,,0.0005476190476191
0.5,0,0,pfi,4,checking_status,1,0.09945238095238049,1.0,1.0,,0.09945238095238049
0.5,0,0,pfi,5,employment_since,1,0.010571428571428175,1.0,1.0,,0.010571428571428175
0.5,0,0,pfi,6,foreign_worker,1,0.0005119047619045,1.0,1.0,,0.0005119047619045
0.5,0,0,pfi,7,installment_rate,1,0.004345238095238,1.0,1.0,,0.004345238095238
0.5,0,0,pfi,8,job,1,0.0027499999999998003,1.0,1.0,,0.0027499999999998003
0.5,0,0,pfi,9,other_debtors,1,0.0044642857142857,1.0,1.0,,0.0044642857142857
